q	t	bitscore	evalue
YP_009592732.1	ERR843924__NODE_18_length_29760_cov_22.677866_21	69.7	3.8e-12
YP_009592732.1	NP_944197.1	300.4	1.4e-98
YP_009592732.1	YP_004010361.1	381.7	1.6e-130
YP_009592732.1	YP_003969386.1	305.4	1.3e-100
YP_009592732.1	YP_009011726.1	298.9	5.5e-98
YP_009592732.1	YP_007005176.1	63.2	1.3e-10
YP_009592732.1	YP_007010162.1	256.5	2.1e-81
YP_009592732.1	YP_009098780.1	120.2	1.7e-29
YP_009592732.1	YP_009606983.1	302.4	2.1e-99
YP_009592732.1	YP_009834451.1	256.9	1.5e-81
YP_009592732.1	YP_009835086.1	243.8	7.9e-77
YP_009592732.1	YP_010093050.1	305.8	1.1e-100
YP_009592732.1	NP_899332.1	310.5	1.3e-102
YP_009592732.1	YP_008125283.1	314.3	3.6e-104
YP_009592732.1	YP_009006379.1	313.5	7.8e-104
YP_009592732.1	YP_009201279.1	313.5	7.8e-104
YP_009592732.1	NP_861926.1	725.7	1.5e-266
YP_009592732.1	YP_004010089.1	442.2	1.3e-154
YP_009592732.1	YP_007501256.1	437.6	1.1e-152
YP_009592732.1	YP_009147949.1	434.1	2.6e-151
YP_009592732.1	YP_009056809.1	726.1	1.1e-266
YP_009592732.1	YP_009037542.1	755.7	1.9e-278
YP_009592732.1	YP_009126165.1	439.1	2.8e-153
YP_009592732.1	YP_009005509.1	451.1	5.5e-158
YP_009592732.1	YP_009593224.1	758.4	1.7e-279
YP_009592732.1	YP_009289058.1	756.1	1.4e-278
YP_009592732.1	YP_009608440.1	755.7	1.9e-278
YP_009592732.1	YP_010093277.1	755.7	1.9e-278
YP_009592732.1	YP_010068916.1	755.7	1.9e-278
YP_009592732.1	YP_010099954.1	755.0	3.9e-278
YP_009592732.1	YP_010076312.1	754.6	5.6e-278
YP_009592732.1	YP_010278695.1	753.4	1.6e-277
YP_009592732.1	YP_009225029.1	752.3	4.6e-277
YP_009592732.1	YP_010088298.1	746.9	6.2e-275
YP_009592732.1	YP_010096482.1	728.4	1.3e-267
YP_009592732.1	YP_009100768.1	725.3	2.1e-266
